,에너지,시간(총),시간(0제외),시작온도,종료온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생,강종,강종_ALLOY,강종_CARBON,강종_SUS
0,1289.9,7740.0,7620.0,384.8,1255.3,7,103950.0,14850,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,103950.0,14850,0,0.0,0,0,0.0,0,7,103950.0,14850,22140.0,0,누락없음,2,2020-03-03,야간,2020-03-03 04:44:00,화,안겹침,이상없음,4,0,A,평일,0,ALLOY,1,0,0
1,684.9,3900.0,3780.0,653.4,1261.7,8,88800.0,11100,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,88800.0,11100,0,0.0,0,0,0.0,0,8,88800.0,11100,2100.0,0,누락없음,2,2020-03-06,야간,2020-03-06 04:01:00,금,안겹침,이상없음,8,0,A,평일,0,ALLOY,1,0,0
2,838.0,4740.0,4200.0,769.6,1261.6,0,0.0,0,5,41250.0,8250,3,18150.0,6050,0,0.0,0,0,0.0,0,0,0.0,0,8,59400.0,8250,0,0.0,0,0,0.0,0,8,59400.0,8250,2280.0,0,누락없음,2,2020-03-13,주간,2020-03-12 19:18:00,목,안겹침,이상없음,7,0,CS,평일,0,CARBON,0,1,0
3,840.8,5460.0,5400.0,782.4,1198.1,8,76432.0,9554,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,76432.0,9554,0,0.0,0,0,0.0,0,8,76432.0,9554,14280.0,0,누락없음,3,2020-03-13,주간,2020-03-12 18:00:00,목,겹침,이상없음,9,8,A,평일,0,ALLOY,1,0,0
4,825.2,4740.0,3600.0,927.4,1256.6,7,94360.0,13480,2,16060.0,8030,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,9,110420.0,13480,0,0.0,0,0,0.0,0,9,110420.0,13480,1800.0,0,누락없음,3,2020-03-25,주간,2020-03-24 19:14:00,화,안겹침,이상없음,5,0,AC,평일,0,CARBON,0,1,0
5,751.6,4620.0,4380.0,501.4,1255.6,8,88800.0,11100,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,88800.0,11100,0,0.0,0,0,0.0,0,8,88800.0,11100,5400.0,0,누락없음,2,2020-03-26,주간,2020-03-25 16:11:00,수,안겹침,이상없음,6,0,A,평일,0,ALLOY,1,0,0
6,796.1,4800.0,4680.0,804.6,1252.3,6,80880.0,13480,0,0.0,0,2,13380.0,6690,0,0.0,0,0,0.0,0,0,0.0,0,8,94260.0,13480,0,0.0,0,0,0.0,0,8,94260.0,13480,1620.0,0,누락없음,3,2020-03-26,주간,2020-03-25 19:48:00,수,안겹침,이상없음,9,0,AS,평일,0,ALLOY,1,0,0
7,867.9,5340.0,5160.0,853.4,1258.8,8,76432.0,9554,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,76432.0,9554,0,0.0,0,0,0.0,0,8,76432.0,9554,1500.0,0,누락없음,3,2020-03-27,주간,2020-03-26 20:25:00,목,안겹침,이상없음,8,0,A,평일,0,ALLOY,1,0,0
8,1252.5,8220.0,8100.0,812.2,1250.2,8,84240.0,10530,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,84240.0,10530,0,0.0,0,0,0.0,0,8,84240.0,10530,2880.0,0,누락없음,3,2020-04-03,주간,2020-04-02 13:45:00,목,안겹침,이상없음,6,0,A,평일,0,ALLOY,1,0,0
9,1185.1,8400.0,8340.0,151.8,1206.2,7,103950.0,14850,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,103950.0,14850,0,0.0,0,0,0.0,0,7,103950.0,14850,164820.0,0,누락없음,3,2020-04-07,주간,2020-04-06 13:35:00,월,안겹침,이상없음,8,0,A,주말,0,ALLOY,1,0,0
